tag,init_file,output_dir,case_region,n_pores_requested,n_pores_effective,k_spacing,depth_ratio,width,height,final_vtu,n_bubbles,status
062,/home/fiorello/init_files_grid/062.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/062,intermediate,1,1,4.727272727272727,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/062/surf_20.0.vtu,0,ok
063,/home/fiorello/init_files_grid/063.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/063,intermediate,1,1,4.727272727272727,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/063/surf_20.0.vtu,0,ok
064,/home/fiorello/init_files_grid/064.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/064,intermediate,1,1,4.727272727272727,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/064/surf_20.0.vtu,0,ok
065,/home/fiorello/init_files_grid/065.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/065,intermediate,1,1,4.727272727272727,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/065/surf_20.0.vtu,0,ok
066,/home/fiorello/init_files_grid/066.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/066,intermediate,1,1,5.0,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/066/surf_20.0.vtu,0,ok
067,/home/fiorello/init_files_grid/067.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/067,intermediate,1,1,5.0,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/067/surf_20.0.vtu,0,ok
068,/home/fiorello/init_files_grid/068.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/068,intermediate,1,1,5.0,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/068/surf_20.0.vtu,0,ok
069,/home/fiorello/init_files_grid/069.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/069,intermediate,1,1,5.0,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/069/surf_20.0.vtu,0,ok
070,/home/fiorello/init_files_grid/070.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/070,intermediate,1,1,5.0,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/070/surf_20.0.vtu,0,ok
071,/home/fiorello/init_files_grid/071.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/071,intermediate,1,1,5.0,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/071/surf_20.0.vtu,0,ok
072,/home/fiorello/init_files_grid/072.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/072,intermediate,2,2,2.0,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/072/surf_20.0.vtu,0,ok
073,/home/fiorello/init_files_grid/073.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/073,intermediate,2,2,2.0,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/073/surf_20.0.vtu,0,ok
074,/home/fiorello/init_files_grid/074.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/074,intermediate,2,2,2.0,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/074/surf_20.0.vtu,0,ok
075,/home/fiorello/init_files_grid/075.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/075,intermediate,2,2,2.0,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/075/surf_20.0.vtu,0,ok
076,/home/fiorello/init_files_grid/076.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/076,intermediate,2,2,2.0,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/076/surf_20.0.vtu,1,ok
077,/home/fiorello/init_files_grid/077.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/077,intermediate,2,2,2.0,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/077/surf_20.0.vtu,1,ok
078,/home/fiorello/init_files_grid/078.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/078,intermediate,2,2,2.2727272727272725,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/078/surf_20.0.vtu,0,ok
079,/home/fiorello/init_files_grid/079.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/079,intermediate,2,2,2.2727272727272725,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/079/surf_20.0.vtu,0,ok
080,/home/fiorello/init_files_grid/080.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/080,intermediate,2,2,2.2727272727272725,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/080/surf_20.0.vtu,0,ok
081,/home/fiorello/init_files_grid/081.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/081,intermediate,2,2,2.2727272727272725,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/081/surf_20.0.vtu,0,ok
082,/home/fiorello/init_files_grid/082.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/082,intermediate,2,2,2.2727272727272725,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/082/surf_20.0.vtu,1,ok
083,/home/fiorello/init_files_grid/083.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/083,intermediate,2,2,2.2727272727272725,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/083/surf_20.0.vtu,1,ok
084,/home/fiorello/init_files_grid/084.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/084,intermediate,2,2,2.5454545454545454,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/084/surf_20.0.vtu,0,ok
085,/home/fiorello/init_files_grid/085.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/085,intermediate,2,2,2.5454545454545454,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/085/surf_20.0.vtu,0,ok
086,/home/fiorello/init_files_grid/086.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/086,intermediate,2,2,2.5454545454545454,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/086/surf_20.0.vtu,0,ok
087,/home/fiorello/init_files_grid/087.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/087,intermediate,2,2,2.5454545454545454,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/087/surf_20.0.vtu,0,ok
088,/home/fiorello/init_files_grid/088.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/088,intermediate,2,2,2.5454545454545454,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/088/surf_20.0.vtu,0,ok
089,/home/fiorello/init_files_grid/089.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/089,intermediate,2,2,2.5454545454545454,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/089/surf_20.0.vtu,2,ok
090,/home/fiorello/init_files_grid/090.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/090,intermediate,2,2,2.8181818181818183,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/090/surf_20.0.vtu,0,ok
091,/home/fiorello/init_files_grid/091.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/091,intermediate,2,2,2.8181818181818183,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/091/surf_20.0.vtu,0,ok
092,/home/fiorello/init_files_grid/092.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/092,intermediate,2,2,2.8181818181818183,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/092/surf_20.0.vtu,0,ok
093,/home/fiorello/init_files_grid/093.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/093,intermediate,2,2,2.8181818181818183,11.0,0.1045,0.9595,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/093/surf_20.0.vtu,0,ok
094,/home/fiorello/init_files_grid/094.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/094,intermediate,2,2,2.8181818181818183,12.0,0.1045,1.064,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/094/surf_20.0.vtu,0,ok
095,/home/fiorello/init_files_grid/095.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/095,intermediate,2,2,2.8181818181818183,13.0,0.1045,1.1685,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/095/surf_20.0.vtu,2,ok
096,/home/fiorello/init_files_grid/096.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/096,intermediate,2,2,3.090909090909091,8.0,0.1045,0.6459999999999999,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/096/surf_20.0.vtu,0,ok
097,/home/fiorello/init_files_grid/097.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/097,intermediate,2,2,3.090909090909091,9.0,0.1045,0.7505,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/097/surf_20.0.vtu,0,ok
098,/home/fiorello/init_files_grid/098.dat,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/098,intermediate,2,2,3.090909090909091,10.0,0.1045,0.855,/scratch/fiorello/mesoEvo_install_seq/dataset_pores_grid/098/surf_20.0.vtu,0,ok
